State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
Michigan,26,2008,6627768,103514,2064234,533225,1067298,534335,1015678,446993,112101,65401,5839265,88.1,7772411,4916605,4512781,403824,8.21,63.26,58.06
Minnesota,27,2008,3456013,45908,950861,245919,545232,333882,744626,232531,72822,39375,3165248,91.59,4050170,2914447,2755765,158682,5.44,71.96,68.04
Mississippi,28,2008,1862456,35758,559994,109199,311775,145996,234364,88710,23391,14586,1488015,79.9,2186906,1293746,1206817,86929,6.72,59.16,55.18
Missouri,29,2008,3915849,56496,1253360,290574,600159,263099,621851,255751,63585,38020,3386399,86.48,4576051,3065686,2875338,190348,6.21,66.99,62.83
Montana,30,2008,648277,8198,200319,48597,115248,49516,121576,36162,11904,6189,589511,90.94,759997,512174,487960,24214,4.73,67.39,64.21
Nebraska,31,2008,1151267,13591,340895,94003,187227,103164,213091,66587,21768,10966,1037701,90.14,1352164,987511,955286,32225,3.26,73.03,70.65
Nevada,32,2008,1710130,48767,486603,127413,320373,120278,254739,82770,24131,12175,1428482,83.53,1976670,1373088,1278565,94523,6.88,69.46,64.68
New Hampshire,33,2008,903088,10635,262528,53650,120081,83703,192469,81088,16774,10556,820849,90.89,1051320,742982,715015,27967,3.76,70.67,68.01
New Jersey,34,2008,5864395,106779,1727649,308531,701735,368268,1266033,531683,142075,77833,5123807,87.37,6722056,4495633,4250468,245165,5.45,66.88,63.23
New Mexico,35,2008,1278005,20547,334339,78863,229456,94904,178600,96052,20322,20956,1053492,82.43,1499299,933711,893444,40268,4.31,62.28,59.59
New York,36,2008,13072344,294525,3614690,609026,1541922,1054806,2368483,1273563,357113,174030,10993633,84.1,15272352,9641699,9120183,521516,5.41,63.13,59.72
North Carolina,37,2008,6085315,81419,1680882,398464,926472,497276,1060313,371435,89164,65169,5089175,83.63,7011929,4579720,4295191,284529,6.21,65.31,61.26
North Dakota,38,2008,418893,5099,113472,26724,71522,51090,85130,19474,5053,2986,375451,89.63,498983,371860,360310,11549,3.11,74.52,72.21
Ohio,39,2008,7664309,134073,2713868,541235,1047136,567394,1179230,476942,121994,68888,6716687,87.64,8929752,6003679,5607500,396179,6.6,67.23,62.8
Oklahoma,40,2008,2359350,41374,758273,171389,404078,161141,353517,117398,32656,19486,2017938,85.53,2743197,1741055,1678065,62990,3.62,63.47,61.17
Oregon,41,2008,2580555,45187,661252,211993,477479,211680,465367,177520,48953,33313,2287557,88.65,2970432,1947108,1824738,122370,6.28,65.55,61.43
Pennsylvania,42,2008,8475332,133686,3164208,474042,922602,625930,1382175,582840,154745,105895,7412437,87.46,9888397,6440679,6095858,344821,5.35,65.13,61.65
Rhode Island,44,2008,708746,13751,197197,38702,90841,53648,132534,57113,14284,8949,593268,83.71,838434,568367,525197,43170,7.6,67.79,62.64
South Carolina,45,2008,2960522,53817,913708,177902,418366,251946,449200,180739,42501,28056,2462418,83.18,3439974,2160368,2002367,158001,7.31,62.8,58.21
South Dakota,46,2008,522989,5970,169985,35906,84985,50505,92952,24310,8400,5388,472431,90.33,611461,439212,425595,13618,3.1,71.83,69.6
Tennessee,47,2008,4176640,71745,1359011,275722,624345,251702,620919,225766,66554,41498,3465517,82.97,4821665,3061115,2861323,199792,6.53,63.49,59.34
Texas,48,2008,15124846,261978,3848003,957568,2453487,951090,2582943,884047,220376,144734,12042248,79.62,17740350,11678849,11108771,570078,4.88,65.83,62.62
Utah,49,2008,1554634,25057,379895,128957,297038,147843,306131,102498,24875,18235,1405472,90.41,1934013,1385465,1339172,46293,3.34,71.64,69.24
Vermont,50,2008,429859,4385,141969,24306,47604,37553,85431,37108,9484,6065,389520,90.62,504718,353990,337874,16116,4.55,70.14,66.94
Virginia,51,2008,5155750,75433,1298100,316739,731772,346881,1027033,508011,120229,81709,4430474,85.93,5926737,4128722,3951876,176847,4.28,69.66,66.68
Washington,53,2008,4387893,70843,1041543,367357,768445,408831,870887,335604,88419,52174,3933260,89.64,5089154,3474761,3291002,183759,5.29,68.28,64.67
West Virginia,54,2008,1265065,15507,515881,73724,160601,73953,130855,61032,15023,9294,1040363,82.24,1448678,806440,768195,38244,4.74,55.67,53.03
Wisconsin,55,2008,3758610,59889,1264002,263856,544865,330632,642270,228158,58856,36380,3369019,89.63,4388989,3099608,2945062,154546,4.99,70.62,67.1
Wyoming,56,2008,349389,4693,106916,32319,63337,35190,54987,19502,5037,3031,320319,91.68,410860,296552,287825,8727,2.94,72.18,70.05
Alabama,1,2009,3115982,55700,966912,187044,499367,218551,447402,168782,43137,27222,2558417,82.11,3621410,2157016,1939467,217549,10.09,59.56,53.56
Alaska,2,2009,431178,6784,119495,37554,89990,32532,75816,28369,6328,4022,394106,91.4,511902,359508,330858,28650,7.97,70.23,64.63
Arizona,4,2009,4248231,91080,1057329,329783,772503,330543,691996,279698,67951,46108,3575911,84.17,4951436,3129990,2827397,302593,9.67,63.21,57.1
Arkansas,5,2009,1903914,34783,662671,128509,303367,115017,242389,83186,21009,12349,1568497,82.38,2203566,1353277,1248756,104521,7.72,61.41,56.67
California,6,2009,23782109,585715,4979576,1408419,3876236,1797763,4553969,1685526,535673,335281,19172443,80.62,27946731,18310749,16199206,2111543,11.53,65.52,57.96
Colorado,8,2009,3293368,47588,743807,209006,545618,261847,762038,305896,71046,42614,2941872,89.33,3838336,2731197,2516161,215036,7.87,71.16,65.55
Connecticut,9,2009,2370028,37046,667775,125561,287284,174809,475179,267418,66317,34588,2098931,88.56,2746833,1888642,1731616,157026,8.31,68.76,63.04
Delaware,10,2009,595133,8838,185594,37374,81860,44146,103335,46372,11841,9543,520065,87.39,686095,438429,401841,36588,8.35,63.9,58.57
District of Columbia,11,2009,413396,6332,82834,16668,49467,10728,84646,64982,34211,16543,360079,87.1,486104,338054,304233,33822,10.0,69.54,62.59
Florida,12,2009,12800944,292413,3863394,834192,1902098,1083545,2081848,774248,251389,126229,10916943,85.28,14589442,8990580,8130452,860128,9.57,61.62,55.73
Georgia,13,2009,6230326,99329,1799352,358517,952815,401660,1096655,430420,121361,67609,5228389,83.92,7300589,4793190,4294292,498898,10.41,65.65,58.82
Hawaii,15,2009,882883,11146,254898,47135,147750,87354,173274,55549,20301,11971,798232,90.41,981691,632235,590108,42127,6.66,64.4,60.11
Idaho,16,2009,963730,16726,278026,79460,183541,80424,157721,50637,11919,9975,851703,88.38,1149973,763610,697004,66606,8.72,66.4,60.61
Illinois,17,2009,8437673,146040,2302533,558417,1232742,615678,1593889,722570,175069,89935,7290833,86.41,9877039,6603766,5930943,672823,10.19,66.86,60.05
Indiana,18,2009,4193210,64565,1487584,289297,595421,315650,606497,243990,56717,37116,3632272,86.62,4907391,3216884,2881483,335400,10.43,65.55,58.72
Iowa,19,2009,1980897,22989,653961,154209,285931,201612,350245,101993,26140,18540,1792631,90.5,2333606,1677280,1570158,107123,6.39,71.88,67.28
Kansas,20,2009,1809054,18730,517000,147802,296248,129360,348274,135787,30110,18833,1623414,89.74,2128661,1512964,1408583,104381,6.9,71.08,66.17
Kentucky,21,2009,2877333,42414,981970,184226,392794,187874,358687,176453,46865,21562,2350431,81.69,3328976,2065195,1842690,222504,10.77,62.04,55.35
Louisiana,22,2009,2896932,45500,994399,160117,466191,139674,419316,132638,46342,21835,2380512,82.17,3388954,2068388,1927651,140736,6.8,61.03,56.88
Maine,23,2009,924973,8014,317244,57205,129235,81337,160080,62185,17126,9884,834296,90.2,1064932,697786,639274,58512,8.39,65.52,60.03
Maryland,24,2009,3797739,56978,1013865,228093,519068,234060,748377,407755,112289,86847,3350354,88.22,4397392,3050229,2819927,230302,7.55,69.36,64.13
Massachusetts,25,2009,4490445,66329,1181095,225591,523899,347972,980758,511504,121542,102774,3995135,88.97,5237356,3471951,3191218,280733,8.09,66.29,60.93
Michigan,26,2009,6624875,104917,2057412,524202,1069444,543759,1005499,457832,107350,58145,5823643,87.91,7771824,4860985,4222639,638347,13.13,62.55,54.33
Minnesota,27,2009,3486153,41960,972163,233308,545834,339711,738972,249118,70778,39173,3189057,91.48,4083410,2932536,2700956,231580,7.9,71.82,66.14
Mississippi,28,2009,1865862,39181,572627,112354,317243,131978,234032,90007,26077,15544,1499862,80.38,2199696,1268741,1150090,118652,9.35,57.68,52.28
Missouri,29,2009,3961562,60006,1267009,299930,608287,262736,623479,274878,62837,37901,3437057,86.76,4610127,3062664,2785918,276746,9.04,66.43,60.43
Montana,30,2009,648828,8379,204204,40795,115452,51322,123649,37499,10077,6407,589405,90.84,767110,502813,467045,35768,7.11,65.55,60.88
Nebraska,31,2009,1153230,15669,329580,91717,191230,107574,214419,70105,18778,12163,1035566,89.8,1363273,988228,942245,45983,4.65,72.49,69.12
Nevada,32,2009,1728239,43311,496477,123129,322939,131339,245697,91537,26255,12934,1450307,83.92,1999624,1367831,1207416,160415,11.73,68.4,60.38
New Hampshire,33,2009,902747,9349,270372,58771,119371,86666,187812,75447,15871,9743,824053,91.28,1057314,739833,694450,45382,6.13,69.97,65.68
New Jersey,34,2009,5905302,100380,1734474,306924,718669,364544,1273186,547305,140272,76718,5162092,87.41,6766177,4541223,4135127,406096,8.94,67.12,61.11
New Mexico,35,2009,1290920,17850,340607,79404,226144,95854,192548,91400,22268,20914,1069139,82.82,1516254,928570,863041,65529,7.06,61.24,56.92
New York,36,2009,13197392,275076,3641890,618565,1535027,1100827,2434198,1303712,363143,174410,11171772,84.65,15354331,9666237,8857277,808960,8.37,62.95,57.69
North Carolina,37,2009,6150247,86524,1678361,406048,944802,524739,1091506,380622,93350,67095,5186523,84.33,7117828,4615325,4106422,508904,11.03,64.84,57.69
North Dakota,38,2009,419435,3644,114416,27484,76429,51444,80126,20669,4203,3037,377808,90.08,503716,370413,355880,14533,3.92,73.54,70.65
Ohio,39,2009,7738348,130821,2726971,551910,1070663,564275,1183146,492385,123380,67865,6780595,87.62,8953903,5906430,5307406,599024,10.14,65.96,59.27
Oklahoma,40,2009,2376783,38255,756075,173397,404943,158883,364742,124213,33287,18034,2033574,85.56,2774079,1770110,1653921,116190,6.56,63.81,59.62
Oregon,41,2009,2586798,42715,624733,228394,483766,212845,484488,185851,50639,33481,2304197,89.08,3008002,1968779,1756044,212735,10.81,65.45,58.38
Pennsylvania,42,2009,8609133,128894,3241376,477369,954377,624436,1394249,611013,159520,106488,7568828,87.92,9939374,6402933,5892383,510550,7.97,64.42,59.28
Rhode Island,44,2009,715565,11992,200988,38939,89262,58849,134035,57940,15997,10004,606014,84.69,841735,571261,506085,65176,11.41,67.87,60.12
South Carolina,45,2009,3019333,53039,915789,177266,443326,253400,480232,185794,41368,27268,2524443,83.61,3490448,2167345,1920214,247132,11.4,62.09,55.01
South Dakota,46,2009,523836,5603,169343,37400,82136,50545,93321,25027,8116,5090,470978,89.91,617610,441458,421258,20200,4.58,71.48,68.21
Tennessee,47,2009,4213368,71583,1388399,262695,624651,257969,636544,227079,64885,40758,3502980,83.14,4868441,3033548,2726456,307093,10.12,62.31,56.0
Texas,48,2009,15361557,262837,3906082,975125,2525287,944093,2618635,924646,233320,140703,12267891,79.86,18091029,11948191,11047775,900416,7.54,66.04,61.07
Utah,49,2009,1573179,25900,390291,130085,309692,143646,304181,101453,23716,18771,1421835,90.38,1972474,1374324,1274621,99704,7.25,69.68,64.62
Vermont,50,2009,425483,4888,136581,22538,51750,35647,83936,41552,9128,6018,387150,90.99,507164,359348,337126,22222,6.18,70.85,66.47
Virginia,51,2009,5207987,69920,1324689,321413,749605,344109,1035382,530114,127210,77551,4510073,86.6,6000845,4136974,3854576,282398,6.83,68.94,64.23
Washington,53,2009,4445351,72750,1067506,363669,764119,411431,885861,339071,92329,62467,3986453,89.68,5174102,3464213,3177709,286504,8.27,66.95,61.42
West Virginia,54,2009,1263943,14076,518118,72234,162005,76063,133022,58690,16576,9982,1046690,82.81,1453261,811495,744104,67391,8.3,55.84,51.2
Wisconsin,55,2009,3761656,60229,1283862,251824,537266,338575,648584,228481,53445,34918,3376955,89.77,4417134,3113291,2834563,278728,8.95,70.48,64.17
Wyoming,56,2009,355793,5178,109962,30298,68974,32931,56495,19720,4993,3356,326729,91.83,418116,299961,281216,18745,6.25,71.74,67.26
Alabama,1,2010,3161521,58804,988205,184787,505576,225382,439863,182474,42102,28256,2596645,82.13,3690247,2196694,1968757,227938,10.38,59.53,53.35
Alaska,2,2010,450577,5466,114055,33437,99780,37106,83346,30697,7333,4447,410201,91.04,518526,361629,332196,29432,8.14,69.74,64.07
Arizona,4,2010,4146758,74900,1040197,319403,780822,336950,691889,269415,66393,46338,3551407,85.64,4896820,3096203,2777584,318620,10.29,63.23,56.72
Arkansas,5,2010,1919422,32547,664076,131402,300791,121711,252888,86916,22130,12084,1591998,82.94,2232732,1353829,1247318,106512,7.87,60.64,55.87
California,6,2010,24097200,606859,5012413,1396739,3955068,1831667,4610875,1750623,543242,346531,19447158,80.7,28532316,18367201,16080104,2287097,12.45,64.37,56.36
Colorado,8,2010,3328045,48769,759326,221119,532205,260733,779055,312761,69802,49612,2984613,89.68,3869708,2715095,2467390,247705,9.12,70.16,63.76
Connecticut,9,2010,2434383,37997,687618,136644,294767,173047,491990,265228,68795,39286,2157375,88.62,2798201,1911229,1728401,182828,9.57,68.3,61.77
Delaware,10,2010,600779,8101,196159,37337,82708,43386,99400,45974,12072,9622,526658,87.66,700898,436262,398517,37745,8.65,62.24,56.86
District of Columbia,11,2010,416824,6631,84569,12360,45342,13337,96573,63707,33654,14890,364432,87.43,502917,346801,312261,34540,9.96,68.96,62.09
Florida,12,2010,13077179,306660,3916584,863171,1905622,1121500,2171876,810726,254682,133967,11178128,85.48,14940260,9146223,8156248,989975,10.82,61.22,54.59
Georgia,13,2010,6235623,103095,1824976,356406,950094,422830,1093642,422766,118831,66519,5256064,84.29,7322355,4708977,4207439,501539,10.65,64.31,57.46
Hawaii,15,2010,926928,13157,265263,49098,159739,85655,184364,57405,19618,12187,833329,89.9,1030162,648396,604129,44267,6.83,62.94,58.64
Idaho,16,2010,987829,14719,282678,84047,183007,81703,165218,50378,14917,10415,872363,88.31,1165430,762159,695376,66783,8.76,65.4,59.67
Illinois,17,2010,8465762,157253,2336176,564614,1241360,609204,1629625,702793,174077,97422,7355271,86.88,9905097,6609173,5916964,692209,10.47,66.72,59.74
Indiana,18,2010,4229798,67455,1521860,284036,600584,315927,617193,249013,56328,36579,3681520,87.04,4962815,3175507,2855540,319967,10.08,63.99,57.54
Iowa,19,2010,2018785,23822,681148,151849,289016,202577,344952,110369,29613,18617,1828141,90.56,2358177,1674191,1571900,102290,6.11,71.0,66.66
Kansas,20,2010,1840681,24541,511343,153361,292638,135842,354379,138809,33138,21562,1641072,89.16,2148694,1500470,1396263,104207,6.94,69.83,64.98
Kentucky,21,2010,2903308,43888,996825,187355,399825,198229,359930,169201,45773,21479,2378617,81.93,3350086,2064407,1852448,211959,10.27,61.62,55.3
Louisiana,22,2010,2945907,47529,1012345,162060,457557,151174,424074,136832,43643,26346,2414031,81.95,3437871,2084850,1928124,156726,7.52,60.64,56.08
Maine,23,2010,937014,10722,322397,59095,129068,84698,162350,64297,15546,8776,846227,90.31,1073083,697750,639058,58692,8.41,65.02,59.55
Maryland,24,2010,3873474,58773,1004589,232246,532419,244750,762917,426847,113612,93467,3410847,88.06,4488288,3078518,2837523,240994,7.83,68.59,63.22
Massachusetts,25,2010,4458898,65061,1168464,224007,504533,337594,992307,525464,122279,98849,3973497,89.11,5252272,3478585,3198448,280137,8.05,66.23,60.9
Michigan,26,2010,6569801,104456,2032219,518719,1073412,549148,1023760,466019,102984,62418,5828679,88.72,7739421,4754752,4174466,580286,12.2,61.44,53.94
Minnesota,27,2010,3528096,42921,963579,240701,558776,353299,760013,252536,71002,39285,3239191,91.81,4115655,2940580,2723278,217303,7.39,71.45,66.17
Mississippi,28,2010,1904406,33258,583436,105016,322942,159702,236965,96893,22195,15466,1542615,81.0,2228132,1308750,1176978,131772,10.07,58.74,52.82
Missouri,29,2010,3984849,62780,1269737,293959,606040,271659,639352,272880,66072,41515,3461214,86.86,4629450,3042980,2754012,288968,9.5,65.73,59.49
Montana,30,2010,672952,9214,201082,43043,125870,53464,133356,38539,13100,8865,617319,91.73,777255,500857,464851,36006,7.19,64.44,59.81
Nebraska,31,2010,1184379,17089,335752,92549,196119,106676,232326,73363,19542,13840,1070167,90.36,1386390,992015,945262,46753,4.71,71.55,68.18
Nevada,32,2010,1789530,45016,531333,128323,340886,126202,256589,88194,29629,13713,1514869,84.65,2061293,1358413,1171975,186438,13.72,65.9,56.86
New Hampshire,33,2010,907755,9848,270680,52766,118561,90731,185129,83983,17655,10714,830219,91.46,1055691,739305,694287,45018,6.09,70.03,65.77
New Jersey,34,2010,5970904,97474,1761246,293471,721305,367832,1321937,567392,140037,83950,5257170,88.05,6860979,4559402,4118771,440631,9.66,66.45,60.03
New Mexico,35,2010,1341329,21152,354726,84327,249290,94493,189989,100346,21445,23296,1117912,83.34,1560087,928856,856664,72192,7.77,59.54,54.91
New York,36,2010,13089848,268236,3627235,597794,1550865,1072055,2433331,1307200,346468,172793,11107741,84.86,15382860,9630596,8791761,838835,8.71,62.61,57.15
North Carolina,37,2010,6325621,85553,1749642,409053,983064,545716,1123118,386138,95463,68600,5360794,84.75,7295065,4632282,4135930,496352,10.72,63.5,56.69
North Dakota,38,2010,442946,4270,119871,29452,76704,51857,87414,24546,5878,4461,400183,90.35,521042,379036,365049,13987,3.69,72.75,70.06
Ohio,39,2010,7720849,133540,2718983,529424,1054114,602445,1210527,494391,119973,75899,6805756,88.15,8970327,5870336,5267297,603039,10.27,65.44,58.72
Oklahoma,40,2010,2449213,36823,784855,182473,417473,166649,376600,130327,32960,20654,2111991,86.23,2832710,1764991,1650388,114603,6.49,62.31,58.26
Oregon,41,2010,2614886,45758,653316,222760,489017,203853,478133,186388,52713,34569,2320749,88.75,3034354,1991085,1778162,212924,10.69,65.62,58.6
Pennsylvania,42,2010,8654829,126243,3246315,471947,954393,638002,1445223,628765,163666,105831,7654142,88.44,10049131,6358834,5839355,519480,8.17,63.28,58.11
Rhode Island,44,2010,709979,13404,192992,37989,94524,52759,128188,62231,13977,10190,592850,83.5,842735,571356,504971,66385,11.62,67.8,59.92
South Carolina,45,2010,3074357,53146,937777,182270,450521,259417,484341,198055,42507,29588,2584476,84.07,3564619,2173901,1928272,245630,11.3,60.99,54.09
South Dakota,46,2010,532379,6207,168427,32346,83243,53362,98760,28369,8196,4461,477164,89.63,619307,443635,421839,21796,4.91,71.63,68.11
Tennessee,47,2010,4242391,75648,1422131,261534,621413,263107,621127,247545,64674,47018,3548549,83.65,4925390,3093426,2789763,303663,9.82,62.81,56.64
Texas,48,2010,15772122,250883,4033241,1000564,2597665,1000561,2733721,967482,230575,159992,12723801,80.67,18567149,12258425,11255545,1002880,8.18,66.02,60.62
Utah,49,2010,1584824,29335,387683,123463,316330,143171,315627,105098,24821,19595,1435788,90.6,1970916,1350137,1242989,107148,7.94,68.5,63.07
Vermont,50,2010,431042,5148,135729,26179,49757,35790,87638,41182,9139,6872,392286,91.01,507845,359712,336990,22722,6.32,70.83,66.36
Virginia,51,2010,5361301,76698,1363946,307391,771035,361635,1075786,553862,125398,80572,4639625,86.54,6144283,4163300,3859242,304059,7.3,67.76,62.81
Washington,53,2010,4505657,68750,1072578,361229,787998,425322,897884,353426,87002,60926,4046365,89.81,5245864,3457982,3142072,315910,9.14,65.92,59.9
West Virginia,54,2010,1294747,14521,538546,76265,160824,75046,140850,61097,14629,10269,1077526,83.22,1476457,809945,740003,69942,8.64,54.86,50.12
Wisconsin,55,2010,3800295,56001,1265296,265851,537876,354494,659852,248657,55809,37035,3424870,90.12,4435706,3082061,2820630,261431,8.48,69.48,63.59
Wyoming,56,2010,370951,3717,111983,31368,69831,39657,58232,22556,4396,4290,342313,92.28,430897,301903,280956,20947,6.94,70.06,65.2
Alabama,1,2011,3193078,57644,985450,193684,515504,236162,443488,190977,43117,32950,2641332,82.72,3725085,2201954,1991027,210928,9.58,59.11,53.45
Alaska,2,2011,456862,4654,128373,35732,100675,34000,77153,29269,8000,6039,419241,91.77,528560,364445,336210,28235,7.75,68.95,63.61
Arizona,4,2011,4211223,84044,1036587,308284,796860,348197,719546,291892,64212,43548,3609126,85.7,4926325,3051763,2763680,288082,9.44,61.95,56.1
Arkansas,5,2011,1943427,32623,693216,126508,300268,113074,254903,96313,25130,18474,1627886,83.76,2254423,1357541,1250286,107256,7.9,60.22,55.46
California,6,2011,24443872,625239,5150994,1398960,3993070,1872437,4697422,1791770,559241,357887,19821781,81.09,28952845,18405179,16218319,2186860,11.88,63.57,56.02
Colorado,8,2011,3387310,48345,757700,217976,555829,281428,789859,331369,70901,50963,3056025,90.22,3925294,2730173,2493001,237172,8.69,69.55,63.51
Connecticut,9,2011,2444403,40051,676513,128838,309180,179119,500103,275007,70962,37987,2177709,89.09,2829089,1914290,1741786,172505,9.01,67.66,61.57
Delaware,10,2011,611120,10030,192931,37584,82244,42602,104599,49862,11217,10565,531604,86.99,711380,443784,410050,33734,7.6,62.38,57.64
District of Columbia,11,2011,428261,6770,75897,13822,47181,11907,99622,74134,34099,16909,373571,87.23,516884,352151,316309,35842,10.18,68.13,61.2
Florida,12,2011,13267581,306458,4033074,841270,1920222,1175984,2190780,843014,250768,144667,11399779,85.92,15209663,9260509,8333319,927190,10.01,60.89,54.79
Georgia,13,2011,6308961,101783,1849141,341468,970101,419954,1119648,435733,113762,69822,5319629,84.32,7381036,4739138,4258202,480936,10.15,64.21,57.69
Hawaii,15,2011,939512,13444,267463,49239,166948,94200,180231,63432,18812,10799,851124,90.59,1055844,660465,615329,45136,6.83,62.55,58.28
Idaho,16,2011,998460,15521,275033,82382,186302,88949,174646,55345,12617,9487,884761,88.61,1179092,764067,701596,62471,8.18,64.8,59.5
Illinois,17,2011,8521694,153252,2351322,552803,1259175,622949,1645334,712735,190433,95362,7430113,87.19,9949849,6568428,5927034,641394,9.76,66.02,59.57
Indiana,18,2011,4255459,63628,1509773,281024,608829,334810,628173,255703,52157,43183,3713652,87.27,5002729,3188447,2904336,284111,8.91,63.73,58.06
Iowa,19,2011,2027201,27381,670103,147145,284866,211899,358051,113481,31379,20188,1837112,90.62,2375851,1670116,1575941,94176,5.64,70.3,66.33
Kansas,20,2011,1852094,25347,516483,146975,308756,137051,365541,141195,31501,19870,1667372,90.03,2161752,1497807,1402091,95716,6.39,69.29,64.86
Kentucky,21,2011,2922350,44146,996929,199861,410936,203585,359975,183043,46260,26747,2427336,83.06,3371492,2061206,1868146,193060,9.37,61.14,55.41
Louisiana,22,2011,2972737,50094,1024825,162308,481603,155360,415415,144023,44442,24060,2452036,82.48,3477805,2080087,1925604,154482,7.43,59.81,55.37
Maine,23,2011,942537,8476,314456,58795,132305,83864,168605,69554,17910,11482,856971,90.92,1079356,698901,644885,54016,7.73,64.75,59.75
Maryland,24,2011,3915657,57608,1010843,232406,546253,245892,800177,438160,111530,94505,3479766,88.87,4553235,3096908,2870547,226361,7.31,68.02,63.04
Massachusetts,25,2011,4502048,69961,1165691,223207,515490,349778,1004133,528851,122197,107329,4016676,89.22,5295565,3484170,3232509,251661,7.22,65.79,61.04
Michigan,26,2011,6588324,104733,2028204,517247,1060640,555968,1037602,473641,112135,64891,5850328,88.8,7755122,4668640,4201493,467148,10.01,60.2,54.18
Minnesota,27,2011,3560801,46971,958243,233725,564041,368032,777339,258399,75781,41332,3276892,92.03,4150150,2952237,2759783,192454,6.52,71.14,66.5
Mississippi,28,2011,1912708,38474,578273,112328,322366,159186,240726,95403,25780,17716,1551778,81.13,2245128,1346146,1214611,131534,9.77,59.96,54.1
Missouri,29,2011,4008554,58058,1260623,291123,627191,286363,656222,278278,67613,42869,3510282,87.57,4648959,3032563,2770297,262266,8.65,65.23,59.59
Montana,30,2011,676793,8784,206699,46558,123512,56859,132946,38774,10426,8772,624546,92.28,784511,501027,467781,33246,6.64,63.86,59.63
Nebraska,31,2011,1196112,13967,347223,90771,201676,114551,225822,73911,19852,14542,1088348,90.99,1399914,1003444,959233,44210,4.41,71.68,68.52
Nevada,32,2011,1810960,46672,528392,127117,328769,129688,269461,90902,31897,14615,1520841,83.98,2092674,1360624,1179541,181083,13.31,65.02,56.37
New Hampshire,33,2011,914207,11376,267726,54370,121085,86730,191748,84488,14658,14419,835224,91.36,1060141,736690,696488,40201,5.46,69.49,65.7
New Jersey,34,2011,6004613,96449,1767217,298060,739513,368288,1322225,569427,138976,88275,5291981,88.13,6916237,4561839,4134732,427107,9.36,65.96,59.78
New Mexico,35,2011,1354186,25228,359628,79762,239896,101180,195527,102579,21793,26096,1126461,83.18,1583448,925003,858135,66868,7.23,58.42,54.19
New York,36,2011,13197704,280674,3635549,606814,1543477,1091931,2467536,1342831,356937,178363,11223438,85.04,15474264,9536218,8739638,796579,8.35,61.63,56.48
North Carolina,37,2011,6399357,87546,1745251,409587,986662,558745,1136478,417351,95066,73579,5422719,84.74,7416868,4657680,4180981,476700,10.23,62.8,56.37
North Dakota,38,2011,448145,4320,120688,30220,78995,58753,86615,21053,6100,4132,406556,90.72,533220,387365,374404,12961,3.35,72.65,70.22
Ohio,39,2011,7749236,129103,2695735,530907,1102519,602825,1196897,513723,120297,79828,6842731,88.3,8996690,5774213,5264057,510156,8.84,64.18,58.51
Oklahoma,40,2011,2469196,36193,774960,180001,415283,172761,396219,136076,32423,23367,2131090,86.31,2867951,1767018,1668289,98730,5.59,61.61,58.17
Oregon,41,2011,2644754,43591,662549,221452,487554,215713,486317,200641,53434,35429,2363089,89.35,3066901,1995729,1804099,191630,9.6,65.07,58.82
Pennsylvania,42,2011,8714235,129083,3270338,469680,973583,658863,1443083,643588,158025,104977,7722137,88.62,10119106,6380658,5886083,494575,7.75,63.06,58.17
Rhode Island,44,2011,712266,11309,187966,37840,96752,59485,134049,63669,15150,8944,603855,84.78,844463,561982,500063,61919,11.02,66.55,59.22
South Carolina,45,2011,3110532,56077,955509,182312,464860,266173,486569,189771,44678,27657,2617529,84.15,3612048,2185412,1957393,228019,10.43,60.5,54.19
South Dakota,46,2011,537588,5345,168906,35385,88696,52340,97956,31868,6036,5774,486961,90.58,623838,445800,425328,20472,4.59,71.46,68.18
Tennessee,47,2011,4294392,75988,1435886,265493,643228,259365,655551,242616,65244,50487,3617870,84.25,4973466,3116957,2832976,283981,9.11,62.67,56.96
Texas,48,2011,16074391,265662,4099519,973065,2659620,1052281,2847501,995078,244266,160834,13032164,81.07,18967568,12500076,11498484,1001592,8.01,65.9,60.62
Utah,49,2011,1608668,29492,381551,127458,317462,148367,322983,108782,26231,20570,1453404,90.35,1991465,1341435,1246716,94719,7.06,67.36,62.6
Vermont,50,2011,434652,5062,131219,24704,52544,36468,93188,43266,9837,7599,398825,91.76,510272,357624,337724,19900,5.56,70.09,66.19
Virginia,51,2011,5418844,77251,1388613,320897,766367,380585,1111225,575887,133180,83202,4759956,87.84,6243509,4204665,3928556,276109,6.57,67.34,62.92
Washington,53,2011,4583426,76271,1092508,352599,780230,445281,925095,384232,90773,60904,4131622,90.14,5311367,3438842,3145574,293268,8.53,64.74,59.22
